USER_ID;MAX_V;MAX_P;DATASET_SIZE;OPT;THRESHOLD;F1;F2;F3;F4;F5
18.0;1.0;5.0;190.0;117.0;0.1594;0.0;0.0;0.0;0.08283;0.91717
19.0;1.0;5.0;190.0;8.0;0.12299;0.0;0.0;0.11424;0.44288;0.44288
20.0;1.0;5.0;190.0;22.0;0.0;0.0;0.25;0.25;0.25;0.25
21.0;1.0;5.0;190.0;118.0;0.00093;0.00412;0.00412;0.00412;0.00412;0.9835
22.0;1.0;5.0;190.0;12.0;0.66667;0.0;0.0;0.0;0.0;1.0
23.0;1.0;5.0;190.0;126.0;0.00486;0.0;0.0;0.0;0.30352;0.69648
24.0;1.0;5.0;190.0;139.0;0.02307;0.0;0.0;0.0;0.09484;0.90516
25.0;1.0;5.0;190.0;127.0;0.0;0.0;0.0;0.0;0.0;1.0
26.0;1.0;5.0;190.0;142.0;0.0;0.0;0.0;0.0;0.0;1.0
27.0;1.0;5.0;190.0;93.0;0.04113;0.02817;0.02817;0.02817;0.02817;0.88731
28.0;1.0;5.0;190.0;34.0;0.07473;0.04947;0.2124;0.2124;0.2124;0.31333
29.0;1.0;5.0;190.0;137.0;0.005;0.0175;0.0175;0.0175;0.295;0.6525
30.0;1.0;5.0;190.0;128.0;0.00266;0.0;0.0;0.0;0.0;1.0
31.0;1.0;5.0;190.0;127.0;0.0;0.0;0.0;0.0;0.0;1.0
32.0;1.0;5.0;190.0;61.0;0.12701;0.0;0.0;0.09962;0.09962;0.80077
33.0;1.0;5.0;190.0;30.0;0.64151;0.2;0.2;0.2;0.2;0.2
34.0;1.0;5.0;190.0;121.0;-0.0;-0.0;-0.0;-0.0;0.13;0.87
35.0;1.0;5.0;190.0;120.0;0.0;0.0;0.0;0.0;0.0;1.0
36.0;1.0;5.0;190.0;123.0;0.0;0.0;0.0;0.0;0.0;1.0
37.0;1.0;5.0;190.0;85.0;0.11889;0.05733;0.05733;0.05733;0.09778;0.73022
38.0;1.0;5.0;190.0;63.0;0.16918;0.0;0.0;0.053;0.053;0.894
39.0;1.0;5.0;190.0;115.0;0.00149;0.0;0.0;-0.0;-0.0;1.0
40.0;1.0;5.0;190.0;134.0;0.0;0.0;0.0;0.0;0.0;1.0
41.0;1.0;5.0;190.0;35.0;0.115;0.0;0.0;0.0725;0.43333;0.49417
42.0;1.0;5.0;190.0;127.0;0.02527;0.02108;0.02108;0.02108;0.12892;0.80784
43.0;1.0;5.0;190.0;109.0;0.01149;0.0;0.0;0.0;0.0;1.0
44.0;1.0;5.0;190.0;121.0;0.0;0.0;0.0;0.0;0.0;1.0
45.0;1.0;5.0;190.0;70.0;0.165;0.0;-0.0;0.235;0.235;0.53
46.0;1.0;5.0;190.0;90.0;0.24576;0.0;0.0;0.0;0.0;1.0
47.0;1.0;5.0;190.0;93.0;0.12802;0.0;0.0;0.0;0.03885;0.96115
48.0;1.0;5.0;190.0;102.0;0.03082;0.0;0.0;0.0;0.0;1.0
49.0;1.0;5.0;190.0;104.0;0.13252;0.01684;0.01684;0.01684;0.40692;0.54256
50.0;1.0;5.0;190.0;99.0;0.03;0.0;0.0;0.0;0.09;0.91
51.0;1.0;5.0;190.0;66.0;0.64151;0.0;0.0;0.0;0.0;1.0
52.0;1.0;5.0;190.0;92.0;0.64151;0.0;0.0;0.0;0.0;1.0
53.0;1.0;5.0;190.0;82.0;0.11;0.04649;0.04649;0.04649;0.05316;0.80737
