USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
37;3;5;3;157;157;0.8301486174265543;0.5343391497929891;0.5961496035257975;73095.6;:~ value(frittura,V1).[-V1@3, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ category(5).[-1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[-1@5, V1];5.0;0.0;0.01;0.02;0.04;0.425;0.505
38;3;5;3;157;157;0.8641188939412435;0.7139083544413248;0.7532316843668619;47169.4;:~ value(carne,V1).[-1@3, V1]:~ value(pasta,V1).[1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(farinacei,V1), category(3).[-V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(1).[-V1@4, V1];5.0;0.0;0.01;0.07;0.10066;0.25705;0.5623
39;3;5;3;157;157;0.7834394772847494;0.4971895217895508;0.49732104937235516;236542;:~ value(uova,V1).[-1@3, V1]:~ value(frittura,V1).[1@4, V1]:~ value(farinacei,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[-1@5, V1];5.0;0.0;0.01;0.02619;0.02857;0.05714;0.8781
40;3;5;3;157;157;0.821656068166097;0.483414630095164;0.5561594168345133;212623;:~ value(verdure_e_ortaggi,V1).[V1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(forno,V1), category(1).[1@5, V1];5.0;0.0;0.01;0.03606;0.04945;0.42133;0.48315
41;3;5;3;157;157;0.8556263446807861;0.6052442391713461;0.6139364639918009;129203;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(frittura,V1).[-1@1, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@3, V1];5.0;0.0;0.01;0.032;0.06286;0.25541;0.63973
42;3;5;3;157;157;0.8853503863016764;0.7702015240987142;0.6424765586853027;13143.5;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(carne,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ category(4).[-1@5]:~ value(frittura,V1), category(4).[V1@3, V1];5.0;0.0;0.01;0.032;0.05;0.1;0.808
43;3;5;3;157;157;0.8386411666870117;0.4100353717803955;0.5520000060399374;41419.2;:~ value(pesce,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-V1@3, V1];5.0;0.0;0.01;0.035;0.064;0.08;0.811
44;3;5;3;157;157;0.8174097537994385;0.8115798632303873;0.5715325673421224;61168.7;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(carne,V1).[-V1@3, V1]:~ category(3).[-1@4]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(frittura,V1), category(4).[1@5, V1];5.0;0.0;0.01;0.032;0.05;0.414;0.494
45;3;5;3;157;157;0.868365208307902;0.7528735796610514;0.6191833019256592;28454.9;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ category(4).[-1@3];5.0;0.0;0.01;0.02844;0.12043;0.15293;0.6882
46;3;5;3;157;157;0.8895966211954752;0.4965517520904541;0.6038746436436971;7791.93;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(uova,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(1).[-V1@5, V1];5.0;0.0;0.01;0.02473;0.04121;0.06182;0.86224
47;3;5;3;157;157;0.9023354848225912;0.7153933048248291;0.7469085852305094;34918.9;:~ value(pesce,V1).[V1@3, V1]:~ value(stufato,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(uova,V1), category(1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(1).[-V1@4, V1];5.0;0.0;0.02617;0.03864;0.11222;0.41148;0.41148
48;3;5;3;157;157;0.8343949317932129;0.6426917711893717;0.6721667448679606;128523;:~ value(pesce,V1).[1@5, V1]:~ value(farinacei,V1).[-1@4, V1]:~ category(5).[1@1]:~ value(stufato,V1), category(4).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@2, V1];5.0;0.0;0.01;0.0275;0.04;0.42125;0.50125
49;3;5;3;157;157;0.8174097537994385;0.6619334618250529;0.6629883448282877;18038.2;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(farinacei,V1), category(4).[1@4, V1]:~ value(frittura,V1), category(4).[1@5, V1]:~ value(forno,V1), category(4).[-1@2, V1];5.0;0.0;0.01;0.02;0.04;0.08;0.85
50;3;5;3;157;157;0.8259023030598959;0.4910902976989746;0.5444639523824056;46807.9;:~ value(farinacei,V1).[-V1@3, V1]:~ value(forno,V1).[-1@4, V1]:~ category(4).[1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@5, V1];5.0;0.0;0.01;0.01545;0.22045;0.25136;0.50273
51;3;5;3;157;157;0.8259023825327555;0.629365086555481;0.6172768672307333;170108;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(frittura,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@4, V1]:~ value(uova,V1).[-1@1, V1]:~ value(uova,V1), category(1).[V1@5, V1];5.0;0.0;0.0187;0.0287;0.05925;0.25829;0.63507
52;3;5;3;157;157;0.8343949317932129;0.46977682908376056;0.5084890921910604;381370;:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ category(3).[1@4]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[1@5, V1];5.0;0.0;0.01;0.02418;0.03455;0.06909;0.86218
53;3;5;3;157;157;0.8046708901723226;0.5161110162734985;0.5713275273640951;60705.2;:~ value(pesce,V1).[-V1@5, V1]:~ value(uova,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(stufato,V1).[-1@3, V1]:~ value(frittura,V1), category(4).[-1@4, V1];5.0;0.0;0.01;0.02;0.11538;0.15538;0.69923
