USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
43;3;5;3;157;53;0.7987421353658041;0.3602564185857773;0.4698412815729777;41419.2;:~ value(pesce,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(farinacei,V1).[V1@2, V1]:~ value(uova,V1), category(4).[-1@4, V1]:~ value(verdure_e_ortaggi,V1), category(4).[-V1@3, V1];5.0;0.0;0.01;0.035;0.064;0.08;0.811
44;3;5;3;157;53;0.8364779949188232;0.49568965037663776;0.6021505196889242;61168.7;:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ value(carne,V1).[-V1@3, V1]:~ category(3).[-1@4]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(frittura,V1), category(4).[1@5, V1];5.0;0.0;0.01;0.032;0.05;0.414;0.494
45;3;5;3;157;53;0.7358490626017252;0.40913979212443036;0.43703703085581463;28454.9;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(pesce,V1).[-V1@5, V1]:~ value(funghi_e_tartufi,V1).[-1@4, V1]:~ value(farinacei,V1).[V1@2, V1]:~ category(4).[-1@3];5.0;0.0;0.01;0.02844;0.12043;0.15293;0.6882
46;3;5;3;157;53;0.8238993485768636;0.5962963104248047;0.5783208211263021;7791.93;:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(uova,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@4, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(farinacei,V1), category(1).[-V1@5, V1];5.0;0.0;0.01;0.02473;0.04121;0.06182;0.86224
47;3;5;3;157;53;0.8742138544718424;0.7275142669677734;0.7327264149983724;34918.9;:~ value(pesce,V1).[V1@3, V1]:~ value(stufato,V1).[-V1@1, V1]:~ category(3).[-1@2]:~ value(uova,V1), category(1).[1@5, V1]:~ value(erbe_spezie_e_condimenti,V1), category(1).[-V1@4, V1];5.0;0.0;0.02617;0.03864;0.11222;0.41148;0.41148
48;3;5;3;157;53;0.7735849221547445;0.5006747643152872;0.5217717488606771;128523;:~ value(pesce,V1).[1@5, V1]:~ value(farinacei,V1).[-1@4, V1]:~ category(5).[1@1]:~ value(stufato,V1), category(4).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@2, V1];5.0;0.0;0.01;0.0275;0.04;0.42125;0.50125
49;3;5;3;157;53;0.7987421353658041;0.6417624950408936;0.6514749526977539;18038.2;:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(forno,V1).[1@3, V1]:~ value(farinacei,V1), category(4).[1@4, V1]:~ value(frittura,V1), category(4).[1@5, V1]:~ value(forno,V1), category(4).[-1@2, V1];5.0;0.0;0.01;0.02;0.04;0.08;0.85
50;3;5;3;157;53;0.7358490626017252;0.5277777910232544;0.5495223999023438;46807.9;:~ value(farinacei,V1).[-V1@3, V1]:~ value(forno,V1).[-1@4, V1]:~ category(4).[1@2]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(erbe_spezie_e_condimenti,V1).[1@5, V1];5.0;0.0;0.01;0.01545;0.22045;0.25136;0.50273
51;3;5;3;157;53;0.7735849221547445;0.5644444624582926;0.5522875785827637;170108;:~ value(verdure_e_ortaggi,V1).[-1@2, V1]:~ value(frittura,V1).[-V1@3, V1]:~ value(pesce,V1).[V1@4, V1]:~ value(uova,V1).[-1@1, V1]:~ value(uova,V1), category(1).[V1@5, V1];5.0;0.0;0.0187;0.0287;0.05925;0.25829;0.63507
52;3;5;3;157;53;0.7735849221547445;0.4227053026358287;0.5092592239379883;381370;:~ value(verdure_e_ortaggi,V1).[1@3, V1]:~ value(farinacei,V1).[-V1@2, V1]:~ category(3).[1@4]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(uova,V1), category(4).[1@5, V1];5.0;0.0;0.01;0.02418;0.03455;0.06909;0.86218
53;3;5;3;157;53;0.7735849221547445;0.6092307567596436;0.5798941453297933;60705.2;:~ value(pesce,V1).[-V1@5, V1]:~ value(uova,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(stufato,V1).[-1@3, V1]:~ value(frittura,V1), category(4).[-1@4, V1];5.0;0.0;0.01;0.02;0.11538;0.15538;0.69923
